"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Mongolia"	496	3210.015	3443.399	3657.875	3860.433	4064.353	4276.7	4499.383	4730.292	4953.981	5162.315	5361.44	5556.54	5752.842	5946.533	6140.339	6346.03	6548.621
"Republic of Korea"	410	51441.751	52582.651	53541.541	54029.5	54110.041	53804.67	53458.648	53058.215	52661.177	52206.856	51606.214	51032.298	50671.803	50663.196	51026.759	51582.406	52285.927
"China, Taiwan Province of China"	158	23573.288	23756.019	23896.645	23872.73	23656.423	23241.862	22754.154	22288.424	21813.119	21369.038	20911.386	20474.429	20107.913	19838.103	19741.446	19775.019	19928.918
"Kazakhstan"	398	18889.531	20038.691	21027.872	22074.854	23184.544	24363.96	25552.115	26707.844	27728.79	28754.707	29826.477	30987.423	32244.603	33474.999	34740.567	35785.406	36774.727
"Kyrgyzstan"	417	6462.319	6976.813	7483.76	7994.55	8540.973	9131.63	9725.574	10322.113	10912.108	11498.641	12116.147	12759.569	13394.337	14050.814	14710.449	15354.429	15960.459
"Tajikistan"	762	9495.727	10539.348	11547.877	12569.928	13709.485	14905.582	16136.148	17361.645	18556.579	19786.838	21022.799	22249.628	23492.328	24703.539	25926.854	27115.895	28334.149
"Turkmenistan"	795	5768.727	6159.632	6509.114	6827.856	7123.276	7400.403	7683.702	7950.52	8194.593	8417.046	8611.521	8818.918	9048.621	9288.284	9519.302	9769.339	10019.202
"Uzbekistan"	860	32157.936	34201.007	36089.562	37866.285	39741.217	41585.468	43272.67	44766.888	46109.184	47403.749	48604.517	49918.814	51182.493	52494.436	53840.885	55194.975	56628.967
"Afghanistan"	4	36940.141	41552.991	46206.326	51280.101	56182.735	61303.397	66082.094	70542.976	74717.492	78686.763	82002.974	84963.761	88056.96	90781.371	93573.754	95711.409	97561.045
"Bangladesh"	50	171651.839	182497.948	193232.757	202977.357	212447.624	221724.729	230772.842	239136.518	246665.303	253870.47	260430.112	266652.02	272498.057	277689.153	282923.367	287636.862	292325.315
"Bhutan"	64	827.1	882.288	934.13	978.718	1017.339	1059.179	1097.244	1128.699	1155.396	1177.994	1200.198	1220.572	1241.792	1267.645	1293.041	1324.197	1347.241
"India"	356	1400053.494	1493378.602	1586721.682	1674119.349	1757258.583	1842537.514	1931027.556	2017982.222	2099399.771	2175989.072	2252335.603	2330206.152	2408386.213	2484289.607	2557760.292	2631799.41	2706418.946
"Iran (Islamic Republic of)"	364	84504.044	89734.706	93938.344	97430.693	101067.441	105049.012	108853.028	112218.887	114826.325	116433.485	117470.979	118380.823	119807.598	121834.089	124375.948	127154.366	129990.419
"Maldives"	462	395.324	424.581	449.461	471.577	494.095	517.072	538.797	557.017	571.287	581.983	592.412	603.716	614.451	624.328	632.59	641.669	652.948
"Nepal"	524	30490.637	32613.787	34668.642	36449.8	38158.292	39912.797	41633.698	43195.36	44463.919	45610.224	46728.19	47704.728	48437.785	48958.301	49307.721	49632.061	49952.241
"Pakistan"	586	209480.659	230464.163	251819.228	273350.025	295644.159	318676.284	341908.835	364337.283	386009.981	406731.455	426841.422	446174.321	464248.314	481479.629	497599.342	512893.676	528123.205
"Sri Lanka"	144	21276.143	21791.605	22255.854	22655.844	22986.559	23226.821	23439.676	23658.164	23852.139	24022.454	24169.489	24295.724	24417.953	24551.608	24705.945	24828.92	24930.354
"Brunei Darussalam"	96	454.528	485.389	514.563	540.534	564.085	586.464	606.646	623.808	638.927	651.275	662.757	674.489	687.433	701.82	716.223	732.932	751.963
"Cambodia"	116	17007.787	18538.177	20104.251	21693.746	23426.674	25216.504	27027.782	28816.232	30590.527	32268.582	33943.308	35567.586	37131.083	38611.938	40077.785	41567.171	43060.974
"Indonesia"	360	274098.25	290322.366	306374.822	321827.893	336694.62	351621.629	366363.199	381047.305	395641.717	410666.281	426137.351	441865.971	457535.949	473407.614	489489.23	505997.524	522642.921
"Lao People's Dem. Republic"	418	7451.039	8120.457	8783.708	9433.168	10090.359	10754.95	11435.92	12084.399	12688.056	13279.407	13832.335	14345.302	14819.389	15233.037	15609.437	15960.154	16319.844
"Malaysia"	458	32865.962	35601.128	38323.022	40798.581	43059.664	45173.697	47365.574	49705.458	52099.006	54406.072	56590.306	58663.164	60760.373	63008.78	65428.386	68000.739	70613.799
"Myanmar"	104	56311.438	58828.019	61317.14	63450.772	65143.601	66562.103	67751.738	68932.141	70066.72	71142.864	72135.906	73121.659	74133.816	75266.379	76558.716	77939.984	79382.817
"Philippines"	608	109147.823	117928.108	126855.706	135669.194	144410.79	153311.185	162270.446	171349.538	180145.379	188925.6	197678.964	205926.62	214019.86	221836.205	229569.311	237244.898	244597.321
"Singapore"	702	6143.4	6670.608	7165.086	7622.069	7999.456	8329.948	8617.143	8881.499	9102.799	9289.006	9454.376	9613.716	9745.185	9863.758	10013.535	10163.484	10273.598
"Thailand"	764	69084.265	70104.33	70823.438	71036.047	70720.636	70063.075	69314.006	68524.485	67811.067	67185.826	66606.243	66185.987	65926.508	65919.075	66134.01	66667.053	67335.918
"Timor-Leste"	626	1353.426	1552.354	1763.735	1995.146	2236.815	2514.243	2810.936	3121.835	3424.029	3728.953	4015.94	4318.764	4621.356	4933.525	5216.168	5503.541	5763.622
"Viet Nam"	704	98838.833	104283.821	108993.622	112711.502	116023.179	119254.169	122620.273	126038.063	128977.587	131351.682	133502.621	135742.2	138274.953	141181.117	144324.795	147407.068	150633.243
"Armenia"	51	3087.72	3156.741	3196.636	3201.608	3196.81	3192.689	3209.571	3234.248	3245.234	3246.267	3240.432	3239.782	3259.59	3294.086	3347.639	3398.376	3434.075
"Azerbaijan"	31	10346.109	10797.467	11130.941	11451.813	11823.264	12183.027	12500.981	12785.213	13084.377	13425.799	13805.71	14213.658	14645.428	15139.685	15665.984	16239.692	16832.141
"Bahrain"	48	1465.857	1547.345	1610.186	1665.761	1711.407	1748.154	1757.49	1763.509	1776.865	1773.823	1770.63	1758.456	1761.892	1774.021	1808.139	1850.312	1899.998
"Cyprus"	196	1219.671	1269.207	1313.763	1349.894	1375.485	1397.751	1418.049	1438.334	1455.188	1464.411	1468.353	1472.264	1483.338	1501.336	1523.779	1552.812	1585.985
"Georgia"	268	3828.105	3683.539	3532.083	3364.352	3209.758	3102.214	3027.505	2966.283	2899.096	2834.485	2790.312	2772.734	2790.103	2827.849	2873.077	2906.98	2934.388
"Iraq"	368	42321.356	48839.783	55971.273	63642.549	72019.909	81149.016	91036.502	101741.972	113131.09	125162.922	137960.378	151445.233	165542.146	180320.135	195370.638	210920.216	226740.689
"Israel"	376	8765.9	9528.845	10307.755	11124.598	11958.282	12854.287	13815.395	14818.949	15822.008	16833.492	17871.902	18973.518	20047.173	21215.323	22405.342	23598.874	24819.86
"Jordan"	400	8607.619	9585.44	10623.505	11683.484	12719.318	13697.02	14765.775	15832.535	17027.058	18114.782	19277.911	20387.65	21473.351	22561.578	23591.484	24686.497	25806.528
"Kuwait"	414	4597.592	5418.142	6185.751	6852.703	7484.377	8042.82	8457.54	9040.569	9520.529	9873.772	10197.887	10477.881	10692.8	10831.705	11075.511	11344.641	11702.366
"Lebanon"	422	6846.679	7345.798	7718.79	8090.945	8438.111	8806.866	9251.143	9719.49	10221.561	10642.81	11008.574	11304.472	11565.245	11818.854	12093.247	12357.499	12731.067
"Oman"	512	18805.816	34393.024	47610.725	55635.687	59369.624	61667.822	61961.323	62067.439	62588.42	60833.001	57712.801	55338.348	52562.868	50856.094	50349.233	51346.019	54105.081
"Qatar"	634	2753.038	3614.57	5166.638	6291.645	7549.703	8853.719	9754.242	10685.495	11395.827	12135.019	13114.285	13860.353	14613.028	15261.684	15940.741	16589.42	16916.688
"Saudi Arabia"	682	34971.403	38205.647	41302.582	44131.685	46583.683	48567.536	50216.818	51548.128	52609.126	53516.68	54095.503	54582.742	54888.306	55195.596	55544.546	56100.61	56645.338
"State of Palestine"	275	5335.631	6086.959	6853.887	7677.067	8524.007	9392.679	10343.783	11319.287	12312.998	13357.246	14400.178	15398.495	16441.721	17536.511	18583.285	19629.919	20629.548
"Syrian Arab Republic"	760	18714.669	19727.281	21408.728	23157.359	24858.616	26428.834	27788.404	29314.159	30861.962	32396.302	33771.713	34953.268	36093.519	37009.547	37827.72	38678.216	39688.021
"Turkey"	792	85015.699	91388.815	97781.418	103905.23	109803.852	115366.369	120729.468	125936.325	130837.152	135672.159	140274.12	144926.268	149611.748	154516.252	159401.92	164471.879	169451.846
"United Arab Emirates"	784	10547.774	13876.893	17609.244	20158.809	22715.195	24889.999	26804.464	28983.302	31124.824	33448.308	35239.602	36771.242	38202.21	39156.996	39926.646	40335.628	41697.879
"Yemen"	887	30308.95	33892.515	37532.777	41052.688	44450.435	47872.116	51235.246	54381.84	57237.438	59895.142	62064.978	63907.354	65613.23	66969.887	68116.023	68962.93	69629.121
"Europe"	908	742781.742	747867.447	751057.677	752321.774	753791.224	756745.817	761886.791	768774.884	776776.698	786149.297	798200.423	814190.681	834461.092	858455.75	885572.219	914516.311	945055.07
"Belarus"	112	9510.101	9533.896	9502.864	9425.616	9368.132	9364.986	9421.544	9514.435	9611.529	9722.635	9865.614	10084.039	10370.588	10711.439	11072.338	11445.494	11825.823
"Bulgaria"	100	6921.132	6703.083	6465.866	6219.538	6001.091	5825.563	5696.337	5597.177	5510.969	5434.065	5386.089	5375.849	5412.049	5499.173	5611.221	5714.338	5815.869
"Czech Republic"	203	10585.801	10592.986	10552.552	10484.292	10429.924	10405.737	10409.419	10430.203	10441.619	10445.872	10477.535	10570.171	10730.576	10955.928	11227.232	11534.359	11860.748
"Hungary"	348	9721.302	9596.615	9454.936	9279.743	9114.705	8976.723	8887.07	8829.387	8784.96	8745.543	8706.589	8698.713	8742.016	8832.086	8961.975	9116.616	9283.17
"Poland"	616	38560.258	38346.83	37937.293	37301.127	36597.255	35938.034	35358.409	34827.972	34315.876	33765.608	33187.749	32687.877	32329.857	32168.692	32180.926	32356.529	32639.944
"Republic of Moldova"	498	4058.035	4039.539	4001.689	3919.171	3819.645	3723.078	3642.269	3573.943	3506.694	3432.706	3351.308	3284.9	3246.818	3242.676	3261.222	3284.837	3307.752
"Romania"	642	18824.239	18139.457	17431.755	16722.501	16036.798	15400.859	14834.903	14322.427	13839.082	13386.113	13010.484	12734.905	12583.385	12523.057	12513.967	12531.347	12552.323
"Russian Federation"	643	143931.926	144384.137	143751.985	142685.445	142218.813	142870.653	144487.986	146578.275	148707.529	150901.568	153818.05	158101.029	163427.275	169500.904	175814.321	182133.189	188551.331
"Slovakia"	703	5455.456	5470.333	5444.497	5376.749	5296.492	5222.239	5168.715	5128.602	5087.175	5035.601	4985.693	4961.014	4969.409	5014.093	5080.496	5161.288	5242.822
"Ukraine"	804	44156.934	43592.648	42803.795	41875.859	41043.541	40486.938	40230.342	40124.126	40053.963	40020.122	40176.658	40652.376	41514.608	42613.339	43780.939	44911.693	46078.179
"Channel Islands"	830	168.253	173.14	178.229	182.977	187.393	191.342	195.453	199.956	205.314	211.336	217.953	225.158	233.457	243.062	253.813	265.41	277.717
