"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Comoros"	174	"55-59"	11.273	13.001	15.152	18.562	22.784	26.245	28.73	31.647	35.531	40.09	44.538	47.188	49.04	51.291	53.982	56.527	58.477
"Comoros"	174	"60-64"	8.554	10.079	11.651	13.686	16.807	20.708	23.91	26.104	29.091	32.666	36.882	41.19	43.749	45.362	47.76	50.324	52.664
"Comoros"	174	"65-69"	5.8	7.259	8.587	10.012	11.822	14.585	18.024	20.81	23.006	25.594	28.76	32.689	36.663	39.005	40.774	42.912	45.501
"Comoros"	174	"70-74"	3.282	4.535	5.704	6.825	7.986	9.477	11.751	14.538	16.98	18.796	21.009	23.82	27.151	30.447	32.576	34.465	36.436
"Comoros"	174	"75-79"	1.974	2.239	3.123	3.975	4.796	5.667	6.762	8.392	10.553	12.383	13.756	15.487	17.61	20.084	22.774	24.524	26.212
"Comoros"	174	"80-84"	0.95	1.093	1.253	1.774	2.285	2.778	3.307	3.985	5.034	6.355	7.542	8.422	9.56	11.004	12.682	14.393	15.936
"Comoros"	174	"85-89"	0.31	0.383	0.446	0.517	0.741	0.965	1.192	1.438	1.751	2.23	2.854	3.408	3.9	4.485	5.191	6.093	7.101
"Comoros"	174	"90-94"	0.063	0.078	0.098	0.117	0.137	0.201	0.265	0.33	0.402	0.5	0.649	0.839	1.033	1.194	1.411	1.679	1.997
"Comoros"	174	"95-99"	0.007	0.009	0.011	0.014	0.017	0.021	0.03	0.04	0.051	0.064	0.081	0.106	0.141	0.176	0.207	0.249	0.303
"Comoros"	174	"100+"	0	0.001	0.001	0.001	0.001	0.001	0.002	0.003	0.003	0.004	0.006	0.007	0.009	0.013	0.016	0.02	0.024
"Djibouti"	262	"0-4"	52.169	51.538	51.38	49.575	48.514	48.585	47.7	44.353	42.673	41.158	39.996	39.124	38.544	37.096	35.169	32.787	32.132
"Djibouti"	262	"5-9"	50.332	50.815	50.393	50.25	48.807	47.646	47.791	46.663	43.73	42.381	40.315	39.513	38.613	38.227	36.485	34.508	32.634
"Djibouti"	262	"10-14"	47.995	49.731	50.52	50.224	49.761	48.424	47.402	46.712	46.268	43.308	42.188	40.023	39.232	38.641	37.853	35.879	34.22
"Djibouti"	262	"15-19"	46.312	47.498	49.144	50.072	49.664	50.035	48.137	46.124	45.769	45.922	43.235	42.772	39.478	37.905	37.893	37.289	34.147
"Djibouti"	262	"20-24"	44.248	45.884	46.98	49.077	49.123	48.36	48.235	46.299	45.559	45.727	44.059	44.499	43.12	38.466	37.974	36.753	33.016
"Djibouti"	262	"25-29"	44.578	43.034	44.985	47.416	48.178	49.834	48.43	46.403	45.539	45.204	45.138	44.879	42.428	40.752	37.272	37.015	33.711
"Djibouti"	262	"30-34"	42.391	43.619	42.003	44.63	46.658	49.618	49.312	46.823	46.41	44.888	44.245	44.095	44.096	40.789	40.102	37.513	35.409
"Djibouti"	262	"35-39"	31.91	41.286	42.185	42.024	43.093	45.757	48.583	48.403	45.775	44.936	44.421	43.397	43.388	42.473	39.184	38.34	37.137
"Djibouti"	262	"40-44"	29.529	30.897	39.926	41.503	40.199	43.279	44.72	47.533	47.464	44.943	44.338	42.945	42.703	42.509	41.992	39.091	37.609
"Djibouti"	262	"45-49"	23.036	28.374	29.786	38.703	39.836	39.717	41.7	43.653	46.301	45.907	43.658	43.738	41.102	41.552	40.928	40.6	37.79
"Djibouti"	262	"50-54"	19.718	21.975	27.182	28.469	36.949	38.854	38.488	40.249	42.117	45.203	44.683	42.545	42.157	40.759	41.065	40.684	40.081
"Djibouti"	262	"55-59"	16.894	18.542	20.717	25.637	26.913	35.499	36.927	36.6	38.134	40.208	43.5	43.154	40.258	40.789	39.182	39.479	39.164
"Djibouti"	262	"60-64"	11.992	15.515	17.106	19.126	23.687	25.277	33.114	34.523	34.346	35.706	37.793	40.489	40.805	38.077	38.822	37.146	37.495
"Djibouti"	262	"65-69"	7.623	10.573	13.725	15.152	17.036	21.352	22.621	29.668	30.906	31.069	32.449	34.366	36.785	37.23	34.803	35.454	34.232
"Djibouti"	262	"70-74"	6.029	6.251	8.724	11.404	12.663	14.352	18.06	19.15	25.21	26.538	26.456	27.602	29.645	31.56	32.115	30.281	31.02
"Djibouti"	262	"75-79"	3.575	4.412	4.615	6.466	8.521	9.57	10.888	13.64	14.636	19.46	20.762	20.586	21.853	23.126	25.238	25.469	24.423
"Djibouti"	262	"80-84"	1.738	2.169	2.688	2.829	4.019	5.355	6.06	6.931	8.77	9.464	12.643	13.577	13.727	14.835	15.6	16.854	17.384
"Djibouti"	262	"85-89"	0.618	0.783	0.992	1.247	1.329	1.917	2.57	2.934	3.408	4.35	4.753	6.42	6.96	7.183	7.893	8.252	8.956
"Djibouti"	262	"90-94"	0.14	0.181	0.233	0.3	0.385	0.417	0.608	0.832	0.965	1.143	1.484	1.649	2.244	2.431	2.537	2.85	3.061
"Djibouti"	262	"95-99"	0.017	0.023	0.03	0.039	0.051	0.067	0.074	0.111	0.154	0.183	0.218	0.29	0.325	0.453	0.502	0.532	0.601
"Djibouti"	262	"100+"	0.001	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.011	0.016	0.019	0.023	0.031	0.035	0.05	0.057	0.062
"Eritrea"	232	"0-4"	431.505	437.294	454.023	488.608	509.698	515.882	517.896	513.649	516.819	520.555	526.59	528.218	515.158	497.143	476.856	466.954	450.438
