"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Burkina Faso"	854	20640.417	23272.956	26017.613	28885.341	31800.584	34653.129	37358.45	39884.077	42209.35	44270.022	46058.92	47549.626	48710.818	49380.511	49687.045	49671.313	49336.526
"Cabo Verde"	132	544.939	564.514	580.411	592.063	596.243	597.114	592.418	579.577	564.982	547.001	522.198	493.621	462.234	429.362	397.976	365.946	336.769
"Cote d'Ivoire"	384	25350.522	28054.165	30790.406	33624.33	36463.622	39245.742	41844.471	44318.555	46544.5	48471.313	50066.666	51299.53	52308.755	52990.593	53139.371	53116.331	52615.191
"Gambia"	270	2312.569	2667.626	3039.772	3417.48	3810.175	4201.856	4584.851	4943.831	5254.242	5513.138	5751.737	5966.518	6109.793	6221.457	6286.393	6297.112	6236.904
"Ghana"	288	30258.208	32867.972	35361.194	37800.408	40175.235	42404.069	44294.799	45799.975	46996.397	47869.222	48486.911	48727.225	48679.469	48338.634	47483.346	46314.78	44968.098
"Guinea"	324	14248.09	15839.626	17463.523	19191.48	20853.376	22583.89	24055.547	25633.074	26994.767	28271.786	29321.324	30086.061	30645.535	31125.784	31428.421	31535.179	31408.058
"Guinea-Bissau"	624	2041.983	2230.16	2404.171	2574.261	2739.921	2889.747	3018.429	3121.345	3200.414	3253.955	3281.993	3285.293	3257.8	3203.164	3121.729	3021.498	2905.302
"Liberia"	430	5051.528	5589.968	6188.253	6809.402	7428.212	8096.56	8733.674	9295.647	9852.363	10382.697	10883.386	11200.04	11510.78	11819.018	12045.191	12193.655	12273.779
"Mali"	466	20144.321	22845.015	25700.711	28769.341	31867.362	34995.5	37971.002	40739.562	43286.802	45603.79	47650.27	49355.286	50726.031	51659.498	52103.925	52093.881	51647.817
"Mauritania"	478	4535.378	5000.102	5459.138	5921.997	6375.02	6811.212	7211.677	7569.044	7886.349	8157.781	8381.284	8558.66	8669.073	8716.895	8699.006	8635.105	8525.664
"Niger"	562	24204.847	29296.473	35240.104	42157.514	50026.289	58676.1	67989.047	77819.794	88002.004	98300.953	108683.486	118932.782	128836.705	138249.942	147138.321	155174.951	162295.423
"Nigeria"	566	205230.629	228855.82	253151.204	278537.207	304425.218	329906.602	353860.724	375777.136	396264.62	414164.496	429794.454	442676.063	451315.092	457003.427	459317.781	458536.875	455037.859
"Senegal"	686	17318.715	19573.974	21899.396	24350.936	26955.177	29658.34	32344.098	34930.732	37354.948	39661.618	41797.631	43785.895	45616.534	47178.687	48485.532	49422.897	49993.726
"Sierra Leone"	694	7127.764	7798.187	8423.553	9066.779	9632.018	10219.301	10756.24	11216.332	11588.321	11849.41	12043.631	12167.423	12217.956	12209.348	12103.888	11984.672	11772.447
"Togo"	768	8150.325	8973.881	9789.869	10581.224	11344.234	12049.314	12689.922	13267.973	13723.347	14090.738	14358.887	14518.581	14566.987	14493.823	14333.687	14045.821	13666.284
"Asia"	935	4559150.684	4671918.655	4740299.242	4782022.66	4793390.844	4767634.352	4702012.636	4601517.636	4475163.223	4326833.088	4161298.159	3980544.839	3788311.782	3589571.996	3388458.22	3188179.277	2988966.736
"China"	156	1389827.858	1382731.297	1360988.381	1331708.768	1293777.922	1245763.478	1187242.539	1121420.254	1053196.228	984554.546	916643.335	849805.449	784235.423	721130.011	662669.194	608673.647	557982.158
"China, Hong Kong SAR"	344	7414.076	7422.741	7345.884	7243.609	7106.673	6929.341	6692.056	6417.145	6093.361	5759.859	5444.683	5100.006	4786.382	4505.165	4232.399	3983.244	3761.163
