"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Benin"	204	10879.829	12575.579	14382.039	16334.632	18425.383	20597.827	22931.33	25328.703	27814.287	30329.252	33214.475	35937.927	38480.288	41348.527	43773.614	46570.737	49056.898	51685.559
"Burkina Faso"	854	18105.57	21079.699	24461.541	28263.763	32497.352	37285.917	42447.538	48032.257	53767.379	59946.411	66973.235	74177.677	81339.053	89534.333	96957.362	105065.693	113082.396	122305.371
"Cabo Verde"	132	520.502	594.228	663.088	738.158	807.548	873.862	925.66	991.987	1060.147	1130.833	1178.681	1221.321	1225.691	1241.861	1281.545	1307.588	1345.389	1320.74
"Cote d'Ivoire"	384	22701.556	26145.756	30067.438	34379.188	39404.084	44598.655	50702.419	57064.019	63821.391	70712.497	78438.497	86025.679	94429.194	103142.096	111423.204	120405.039	129978.356	140064.387
"Gambia"	270	1990.924	2462.909	2950.306	3465.229	4016.766	4622.379	5249.218	6025.356	6768.938	7601.829	8501.683	9363.192	10290.632	11144.019	12013.954	12926.711	13852.622	14720.48
"Ghana"	288	27409.893	31576.289	35515.623	39976.017	44330.67	48481.312	53411.261	58138.838	63170.71	68018.113	72948.174	77763.426	83461.016	88257.855	92677.46	96880.383	101338.432	107768.807
"Guinea"	324	12608.59	15333.515	18224.367	21205.827	24737.786	27967.325	32036.033	35892.609	39784.289	43706.759	48032.792	52692.311	56995.519	60836.957	64927.622	68609.203	73097.637	78339.44
"Guinea-Bissau"	624	1844.325	2095.042	2360.546	2649.847	2955.129	3279.314	3606.704	3987.16	4359.673	4749.417	5124.241	5485.638	5891.456	6238.944	6580.646	6988.266	7322.859	7658.317
"Liberia"	430	4503.438	5735.073	6905.271	8160.956	9455.291	11005.626	12506.308	13927.679	15623.368	17623.041	19793.436	21745.133	23234.32	24904.857	26813.46	28146.933	30102.524	31402.197
"Mali"	466	17599.694	20735.559	24374.045	28530.9	33122.851	38315.094	43901.419	50152.923	57208.382	64489.046	71506.538	80358.42	89584.99	98175.698	108394.598	117620.625	127438.763	138434.542
"Mauritania"	478	4067.564	4637.111	5249.827	5928.366	6642.678	7400.362	8218.206	9050.707	9922.236	10809.675	11787.138	12812.175	13903.426	14991.24	16174.395	17146.908	18160.438	19115.974
"Niger"	562	19899.12	24632.003	30553.516	37999.429	47095.927	58206.88	71574.859	87120.95	105021.448	125792.613	148339.153	174251.539	203284.715	236494.681	269145.323	308400.748	349360.305	389280.246
"Nigeria"	566	182201.962	209511.258	239484.446	272473.594	310013.765	350280.554	395318.902	443848.981	495638.544	548838.555	607749.976	672339.126	743959.644	813683.201	882780.881	955771.843	1033351.858	1114785.56
"Senegal"	686	15129.273	17827.557	20792.331	24097.318	27840.162	32044.309	36576.36	41421.352	46745.946	52466.19	58527.976	65326.946	71908.009	79273.504	86057.089	93705.836	102331.712	111327.238
"Sierra Leone"	694	6453.184	7659.796	8842.526	10089.373	11267.949	12520.454	14088.682	15524.578	16970.82	18718.692	20435.784	22225.657	23978.219	25415.976	26960.773	28894.986	29522.271	30767.823
"Togo"	768	7304.578	8597.569	9912.749	11299.71	12662.693	14129.575	15682.067	17315.416	18919.123	20483.339	21751.081	23665.537	25591.931	27483.258	29073.633	30717.072	32438.908	33911.352
"ASIA"	935	4393296.014	4622419.071	4827106.775	5010089.857	5172872.541	5313324.598	5436664.566	5543773.021	5628385.312	5708348.293	5760383.727	5803741.837	5831965.905	5854737.676	5881558.386	5896563.397	5919452.437	5930557.654
"China"	156	1376048.943	1411341.262	1434884.496	1448016.849	1452049.386	1447875.551	1436924.834	1422380.822	1400615.214	1377541.133	1344677.645	1319477.682	1299816.394	1280613.674	1263767.961	1246480.894	1241022.715	1230084.095
"China, Hong Kong SAR"	344	7287.983	7930.187	8449.381	8920.327	9293.749	9632.321	9921.19	10069.937	10446.249	10628.988	10765.57	10942.216	11140.911	11567.179	11562.012	11736.107	12001.083	12283.476
"China, Macao SAR"	446	587.606	699.915	795.035	870.897	941.884	987.948	1030.165	1037.151	1026.078	1012.057	1011.393	1000.832	1007.313	999.406	981.214	966.955	990.723	993.399
"Dem. People's Republic of Korea"	408	25155.317	26025.421	26851.07	27544.085	28098.32	28505.756	28816.858	29168.028	29482.265	29773.647	30082.62	30354.646	30557.598	30919.216	31286.012	31503.306	31618.319	31879.532
"Japan"	392	126573.481	126084.315	124904.089	123279.297	121252.764	119261.263	116989.852	114913.525	113168.836	111771.727	109936.457	107810.849	106275.512	105145.99	104286.861	103811.675	103045.668	102755.02
"Mongolia"	496	2959.134	3236.703	3489.316	3726.307	3955.287	4188.951	4432.896	4670.335	4932.916	5191.213	5427.534	5632.011	5822.373	6040.722	6235.74	6400.537	6640.617	6823.643
"Republic of Korea"	410	50293.439	51978.314	53218.172	54542.58	55335.45	55796.055	55945.988	55468.77	54769.693	54394.763	53515.414	52871.868	52000.636	51418.773	50675.796	50265.845	50387.491	49932.762
"Other non-specified areas"	158	23381.038	23871.053	24235.116	24498.403	24542.014	24497.872	24207.817	23855.506	23294.122	22730.216	22003.878	21664.833	20979.175	20228.072	19967.808	19451.775	19081.246	18701.867
"Kazakhstan"	398	17625.226	19648.046	21553.78	23537.877	25820.938	28098.972	30379.698	32846.437	35634.553	37567.24	38899.236	41342.017	43612.565	45737.352	48168.723	49597.205	52496.482	54646.77
"Kyrgyzstan"	417	5939.962	6628.709	7329.177	8046.528	8779.4	9555.607	10395.654	11207.129	12106.269	13017.484	13730.756	14479.561	15308.715	16107.453	16940.78	17702.865	18666.218	19591.305
"Tajikistan"	762	8481.855	9729.318	10946.469	12217.247	13548.392	14929.845	16444.468	17848.509	19287.004	20768.657	22231.145	23581.795	24985.331	26354.554	27697.942	29061.499	30168.746	30868.525
"Turkmenistan"	795	5373.502	5841.513	6248.238	6629.083	6976.192	7232.766	7523.151	7779.42	8018.838	8163.902	8287.832	8418.784	8469.398	8571.141	8665.477	8771.28	8850.443	8956.613
"Uzbekistan"	860	29893.488	32567.575	35043.42	37310.582	39528.168	41503.406	43928.106	45898.334	47953.041	49194.753	51147.387	52070.231	53208.767	54582.409	55499.373	56751.095	57850.277	58892.843
"Afghanistan"	4	32526.562	41475.158	50474.221	59108.827	66670.005	76253.128	84695.451	90482.959	99462.556	106435.265	112748.967	121425.619	127068.285	130485.145	138017.807	142805.23	149125.937	152371.173
"Bangladesh"	50	160995.642	173613.863	185027.585	195894.662	205646.171	215184.405	223336.712	230966.32	236809.296	240808.402	245369.911	247535.324	249170.625	252182.79	252332.333	253757.914	255347.685	255407.892
"Bhutan"	64	774.83	880.131	975.94	1069.124	1154.595	1248.196	1336.825	1415.411	1456.895	1498.839	1535.569	1574.39	1616.787	1634.805	1676.208	1703.461	1713.327	1705.976
"India"	356	1311050.527	1404045.043	1494770.023	1584916.501	1672205.992	1750507.029	1826839.338	1896173.14	1968751.581	2029280.48	2090183.616	2145890.521	2198809.884	2251557.787	2292424.814	2333036.44	2372320.97	2398817.661
